"","SID","col","value"
"1","NOR4","NOR4",0
"2","NOR5","NOR4",0.35
"3","NOR6","NOR4",0.355371900826446
"4","NOR7","NOR4",0.338709677419355
"5","NOR8","NOR4",0.333333333333333
"6","NOR9","NOR4",0.356521739130435
"7","PEQ4","NOR4",0.475728155339806
"8","PEQ5","NOR4",0.466666666666667
"9","PEQ6","NOR4",0.51063829787234
"10","PEQ7","NOR4",0.489795918367347
"11","PEQ8","NOR4",0.56989247311828
"12","PEQ9","NOR4",0.533333333333333
"13","SAL4","NOR4",0.822784810126582
"14","SAL5","NOR4",0.772727272727273
"15","SAL6","NOR4",0.785714285714286
"16","SAL7","NOR4",0.818181818181818
"17","SAL8","NOR4",0.770833333333333
"18","SAL9","NOR4",0.827160493827161
"19","NOR4","NOR5",0.35
"20","NOR5","NOR5",0
"21","NOR6","NOR5",0.304347826086957
"22","NOR7","NOR5",0.355932203389831
"23","NOR8","NOR5",0.421052631578947
"24","NOR9","NOR5",0.357798165137615
"25","PEQ4","NOR5",0.505154639175258
"26","PEQ5","NOR5",0.454545454545455
"27","PEQ6","NOR5",0.522727272727273
"28","PEQ7","NOR5",0.521739130434783
"29","PEQ8","NOR5",0.586206896551724
"30","PEQ9","NOR5",0.523809523809524
"31","SAL4","NOR5",0.835616438356164
"32","SAL5","NOR5",0.829268292682927
"33","SAL6","NOR5",0.82051282051282
"34","SAL7","NOR5",0.763440860215054
"35","SAL8","NOR5",0.755555555555556
"36","SAL9","NOR5",0.786666666666667
"37","NOR4","NOR6",0.355371900826446
"38","NOR5","NOR6",0.304347826086957
"39","NOR6","NOR6",0
"40","NOR7","NOR6",0.327731092436975
"41","NOR8","NOR6",0.356521739130435
"42","NOR9","NOR6",0.345454545454545
"43","PEQ4","NOR6",0.551020408163265
"44","PEQ5","NOR6",0.46
"45","PEQ6","NOR6",0.528089887640449
"46","PEQ7","NOR6",0.483870967741935
"47","PEQ8","NOR6",0.545454545454545
"48","PEQ9","NOR6",0.505882352941176
"49","SAL4","NOR6",0.837837837837838
"50","SAL5","NOR6",0.831325301204819
"51","SAL6","NOR6",0.79746835443038
"52","SAL7","NOR6",0.765957446808511
"53","SAL8","NOR6",0.824175824175824
"54","SAL9","NOR6",0.815789473684211
"55","NOR4","NOR7",0.338709677419355
"56","NOR5","NOR7",0.355932203389831
"57","NOR6","NOR7",0.327731092436975
"58","NOR7","NOR7",0
"59","NOR8","NOR7",0.305084745762712
"60","NOR9","NOR7",0.345132743362832
"61","PEQ4","NOR7",0.524752475247525
"62","PEQ5","NOR7",0.475728155339806
"63","PEQ6","NOR7",0.521739130434783
"64","PEQ7","NOR7",0.458333333333333
