SiteNumber,CollectionDate,StartTime,SampleTypeCode,SiteName,CollectionYear,CollectionMonth,CollectionDayOfYear,BioDataTaxonName,BioDataShortName,BenchTaxonName,BenchTaxonNameReferenceCode,BenchTaxonNADEDID,NumberOfCellsCounted,NumDiaCellsCounted_LiveOrDead,ProportionExamined,NormalizedCellCount,AdjLabCount,BiovolumePerCell_um3,BiovolumePerCellMethod,TaxonRecordSource,IdentificationEntity,LabTaxonID,PublishedTaxonNameLevel,PublishedTaxonName,PublishedTaxonNameAuthority,ScientificName,Group,AlgalGroup,Phylum,Class,Order,Family,Genus,Species,Variety,Form,TaxonVersionNumber
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Ctenophora pulchella,CEpulch,Ctenophora pulchella,KandL-B 2/3 Pl 136 Fig 1 3-7,201001,,2,0.00000234,1,612323,1261.991754,taxon average,Academy of Natural Sciences of Drexel University,ANSP,201001,Species,Ctenophora pulchella,(Ralfs ex KŸtzing) Williams and Round,Ctenophora pulchella (Ralfs ex KŸtzing) Williams and Round,D,Diatom,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Ctenophora,Ctenophora pulchella,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Reimeria sinuata,REsinuta,Reimeria sinuata,KandL-B 2/1 Pl 148 Fig 10-17,55002,,11,0.00000234,8,3367777,143.4017475,taxon average,Academy of Natural Sciences of Drexel University,ANSP,55002,Species,Reimeria sinuata,(Gregory) Kociolek and Stoermer,Reimeria sinuata (Gregory) Kociolek and Stoermer,D,Diatom,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Reimeria,Reimeria sinuata,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Achnanthidium minutissimum,AHminuti,Achnanthidium minutissimum,KandL-B 2/4 Pl 32 Fig 1-9,1010,,10,0.00000234,7,3061615,35.52477702,taxon average,Academy of Natural Sciences of Drexel University,ANSP,1010,Species,Achnanthidium minutissimum,(KŸtzing) Czarnecki,Achnanthidium minutissimum (KŸtzing) Czarnecki,D,Diatom,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae,Achnanthidium,Achnanthidium minutissimum,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Planothidium frequentissimum,PTfreq,Planothidium frequentissimum,KandL-B 2/4 Pl 44 Fig 1-38,155017,,1,0.00000234,1,306162,97.65364726,taxon average,Academy of Natural Sciences of Drexel University,ANSP,155017,Species,Planothidium frequentissimum,(Lange-Bertalot) Lange-Bertalot,Planothidium frequentissimum (Lange-Bertalot) Lange-Bertalot,D,Diatom,Heterokontophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Planothidium,Planothidium frequentissimum,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Nitzschia archibaldii,NIarchib,Nitzschia archibaldii,KandL-B 2/2 Pl 81 Fig 10-12,48417,,9,0.00000234,6,2755454,82.54058528,taxon average,Academy of Natural Sciences of Drexel University,ANSP,48417,Species,Nitzschia archibaldii,Lange-Bertalot,Nitzschia archibaldii Lange-Bertalot,D,Diatom,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia archibaldii,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Fragilaria perminuta,FRpermin,Fragilaria capucina var. perminuta,KandL-B 2/3 Pl 109 Fig 1-5,34155,,7,0.00000234,5,2143131,252.8407052,taxon average,Academy of Natural Sciences of Drexel University,ANSP,34155,Species,Fragilaria perminuta,(Grunow) Lange-Bertalot,Fragilaria perminuta (Grunow) Lange-Bertalot,D,Diatom,Heterokontophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Fragilaria,Fragilaria perminuta,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Gomphonema micropus,GOmicrop,Gomphonema micropus,Reichardt 1999 P 36 Fig 1-14 Pl 37 Fig 1-29 PL 38 Fig,37168,,1,0.00000234,1,306162,364.9188286,taxon average,Academy of Natural Sciences of Drexel University,ANSP,37168,Species,Gomphonema micropus,KŸtzing,Gomphonema micropus KŸtzing,D,Diatom,Heterokontophyta,Bacillariophyceae,Cymbellales,Gomphonemataceae,Gomphonema,Gomphonema micropus,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Tapinothrix janthina,TAPjanth,Tapinothrix janthina,Johansen etal 2011 Fig 2 a-f,,370,,0.00000234,370,158119658,11.82153875,taxon average,Academy of Natural Sciences of Drexel University,ANSP,1708004,Species,Tapinothrix janthina,(Bornet and Flahault) Starmach,Tapinothrix janthina (Bornet and Flahault) Starmach,N,Blue-Green Algae,Cyanophyta,Myxophyceae,Oscillatoriales,Pseudanabaenaceae,Homoeothrix,Tapinothrix janthina,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Nitzschia palea,NIpalea,Nitzschia palea,KandL-B 2/2 Pl 59 Fig 1 2,48025,,9,0.00000234,6,2755454,243.3000058,taxon average,Academy of Natural Sciences of Drexel University,ANSP,48025,Species,Nitzschia palea,(KŸtzing) W. Smith,Nitzschia palea (KŸtzing) W. Smith,D,Diatom,Heterokontophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,Nitzschia palea,,,15.6
01189000,2016-04-21,13:00,APER,"PEQUABUCK R AT FORESTVILLE, CT.",2016,4,112,Craticula subminuscula,CRsubmin,Craticula subminuscula,Diatoms of the United States,,,60,0.00000234,43,18369690,55.0227073,taxon average,Academy of Natural Sciences of Drexel University,ANSP,21049,Species,Craticula subminuscula,(Manguin) Wetzel et al.,Craticula subminuscula (Manguin) Wetzel et al.,D,Diatom,Heterokontophyta,Bacillariophyceae,Naviculales,Stauroneidaceae,Craticula,Craticula subminuscula,,,15.6
