"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd"
"1","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00605","<",0.55,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-21 14:00:00,"UTC"
"2","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00608","<",0.01,NA,"SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16116A",20160426,NA,"USGSNWQL",2016-04-21 14:00:00,"UTC"
"3","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00613",NA,0.006,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16116A",20160426,NA,"USGSNWQL",2016-04-21 14:00:00,"UTC"
"4","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00618",NA,2.77,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-21 14:00:00,"UTC"
"5","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00631",NA,2.78,NA,"RED01","S",0.04,"DLDQC",NA,NA,NA,"KNO316117A",20160427,NA,"USGSNWQL",2016-04-21 14:00:00,"UTC"
"6","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00660",NA,1.92,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-04-21 14:00:00,"UTC"
"7","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00665",NA,0.696,"d","CL021","S",0.004,"DLDQC",NA,NA,NA,"PELW117B",20160512,NA,"USGSNWQL",2016-04-21 14:00:00,"UTC"
"8","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","00671",NA,0.627,"d","PHM01","S",0.004,"DLDQC",NA,NA,NA,"KONE16116A",20160426,NA,"USGSNWQL",2016-04-21 14:00:00,"UTC"
"9","USGS","01189000",2016-04-21,"09:00",NA,NA,"EST","K",NA,"WS",NA,NA,NA,NA,"9","9","9","no NESQA barcode on bottle or SLAR","62855",NA,3.32,NA,"AKP01","S",0.05,"DLDQC",NA,NA,NA,"PTNP118A",20160429,NA,"USGSNWQL",2016-04-21 14:00:00,"UTC"
"10","USGS","01189000",2016-05-20,"14:50",NA,NA,"EST","K",NA,"WS",NA,NA,"0","94","4","9","9",NA,"00605",NA,0.45,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-20 19:50:00,"UTC"
"11","USGS","01189000",2016-05-20,"14:50",NA,NA,"EST","K",NA,"WS",NA,NA,"0","94","4","9","9",NA,"00608",NA,0.02,"n","SHC02","S",0.01,"DLDQC",NA,NA,NA,"KONE16148A",20160531,NA,"USGSNWQL",2016-05-20 19:50:00,"UTC"
"12","USGS","01189000",2016-05-20,"14:50",NA,NA,"EST","K",NA,"WS",NA,NA,"0","94","4","9","9",NA,"00613",NA,0.009,NA,"DZ001","S",0.001,"DLDQC",NA,NA,NA,"KONE16148A",20160531,NA,"USGSNWQL",2016-05-20 19:50:00,"UTC"
"13","USGS","01189000",2016-05-20,"14:50",NA,NA,"EST","K",NA,"WS",NA,NA,"0","94","4","9","9",NA,"00618",NA,2.39,NA,"ALGOR","S",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-20 19:50:00,"UTC"
