,Ctenophora pulchella,Reimeria sinuata,Achnanthidium minutissimum,Planothidium frequentissimum,Nitzschia archibaldii,Fragilaria perminuta,Gomphonema micropus,Nitzschia palea,Craticula subminuscula,Nitzschia soratensis,Rhoicosphenia abbreviata,Cocconeis pediculus,Encyonema minutum,Fragilaria capucina var. gracilis,Sellaphora saugerresii,Nitzschia ambigua,Melosira varians,Gomphonema parvulum,Diatoma vulgaris,Achnanthidium rivulare,Fragilaria vaucheriae,Nitzschia perminuta,Nitzschia palea var. debilis,Nitzschia fonticola,Nitzschia amphibia,Fragilaria capucina,Navicula gregaria,Fragilaria recapitellata,Nitzschia capitellata,Sellaphora nigri,Navicula rhynchocephala,Nitzschia paleacea,Navicula lanceolata,Mayamaea permitis,Meridion circulare,Planothidium lanceolatum,Fragilaria mesolepta,Achnanthes subhudsonis var. kraeuselii,Ulnaria ulna,Encyonema silesiacum,Nitzschia intermedia,Gomphonema minutum,Cyclotella meneghiniana,Surirella amphioxys,Amphipleura pellucida,Fragilaria tenera,Navicula canalis,Cocconeis placentula var. lineata,Nitzschia linearis,Nupela lapidosa,Meridion circulare var. constrictum,Platessa hustedtii,Cocconeis placentula,Pinnularia gibba,Cocconeis pseudolineata,Navicula cryptotenella,Achnanthidium pyrenaicum,Sellaphora seminulum,Amphora pediculus,Navicula submuralis,Reimeria uniseriata,Surirella angusta,Nupela neglecta,Ulnaria ramesi,Gomphonema lagenula,Fragilaria capucina var. fragilarioides,Diatoma moniliformis,Staurosira construens var. venter,Navicula germainii,Cocconeis placentula var. euglypta,Sellaphora atomoides,Adlafia drouetiana,Achnanthidium deflexum,Achnanthidium jackii,Achnanthidium altergracillima,Nitzschia recta,Brachysira microcephala,Gomphonema caperatum,Achnanthidium latecephalum,Fragilaria sepes,Tabellaria flocculosa,Platessa stewartii,Ulnaria acus,Cymbella subturgidula,Nitzschia frustulum,Geissleria acceptata,Gomphonema kobayasii,Navicula notha,Psammothidium daonense,Gomphonema sphaerophorum,Eucocconeis laevis,Navicula menisculus,Gomphonema exilissimum,Fragilaria crotonensis,Eunotia implicata,Psammothidium subatomoides,Psammothidium chlidanos,Psammothidium helveticum,Nitzschia dissipata,Ulnaria ulna var. spathulifera,Encyonopsis subminuta,Achnanthidium catenatum,Sellaphora hustedtii,Pseudostaurosira brevistriata,Amphora copulata,Navicula reichardtiana,Achnanthidium exiguum,Encyonema ventricosum,Platessa bahlsii,Karayevia ploenensis,Planothidium haynaldii,Nitzschia supralitorea,Achnanthidium reimeri,Stephanodiscus hantzschii,Stephanodiscus hantzschii fo. tenuis,Stephanodiscus parvus,Discostella stelligera,Karayevia clevei,Planothidium delicatulum,Anomoeoneis sphaerophora,Navicula cryptocephala,Hippodonta capitata,Navicula peregrina,Nitzschia sociabilis,Navicula antonii,Gomphonema drutelingense,Navicula perminuta,Navicula tripunctata,Planothidium rostratum,Aulacoseira ambigua,Amphora inariensis,Frustulia amphipleuroides,Nitzschia dissipata var. media,Tabularia fasciculata,Caloneis bacillum,Navicula rostellata,Humidophila contenta,Nitzschia palea var. tenuirostris,Gomphoneis olivaceum,Gomphonema olivaceoides,Caloneis silicula,Navicula parablis,Achnanthidium exiguum var. constrictum,Encyonema reichardtii,Pseudostaurosira parasitica,Stephanodiscus minutulus,Navicula tenelloides,Staurosirella pinnata,Adlafia suchlandtii,Planothidium dubium,Pseudostaurosira parasitica var. subconstricta,Diadesmis confervacea
PEQ4,2,11,10,1,9,7,1,9,60,122,18,2,7,3,27,2,2,2,3,11,6,2,1,13,1,2,128,1,2,16,4,10,40,30,1,11,2,17,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ5,0,8,44,9,5,0,0,3,29,87,18,4,23,13,4,0,5,9,11,14,27,0,0,19,2,2,74,0,0,37,0,9,22,7,2,11,15,39,4,21,9,11,1,2,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ6,0,35,12,5,0,0,0,1,62,155,59,0,7,0,17,0,3,9,0,32,1,0,1,5,7,1,9,0,0,43,0,1,3,10,0,21,0,85,0,11,0,0,0,0,0,0,2,7,3,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ7,0,16,10,0,0,1,0,0,31,90,40,4,0,5,11,0,2,13,0,21,2,0,0,2,42,1,4,0,0,55,0,0,3,5,0,56,0,124,2,10,4,0,10,0,0,0,0,15,0,0,0,0,11,0,3,1,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ8,0,15,8,0,0,0,0,3,46,35,20,1,1,0,25,0,0,15,0,5,1,0,0,1,106,1,0,0,0,71,0,0,0,1,0,6,0,203,1,2,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,3,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEQ9,0,11,4,1,0,0,0,0,3,31,38,1,0,1,49,0,6,4,4,3,0,0,0,0,161,0,4,0,0,16,0,0,0,0,0,0,0,223,1,2,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,22,6,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL4,0,0,303,3,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,22,2,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL5,0,0,175,0,0,11,0,0,0,0,0,0,0,38,0,0,0,1,0,281,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,9,0,1,4,4,21,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL6,0,0,168,0,0,3,0,0,0,0,0,0,0,30,0,0,0,2,0,234,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,2,25,0,32,8,0,0,0,0,1,0,1,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL7,0,0,121,0,0,18,0,7,0,0,0,0,0,26,0,0,0,9,0,188,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,7,2,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,46,0,0,0,0,0,7,23,0,5,3,1,46,0,4,0,1,0,1,0,0,0,54,2,2,2,2,2,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
