SID,ACsubkra,AHminuti,AHpyrena,AMpedcls,CAbacill,CYmenegh,EUimplic,FRcroton,MEvarian,MYpermit,NAantoni,NAcryten,NAgregar,NAlancel,NAsubmur,NAtripun,NIamphib,NIdissip,NIfontic,NIpalea,PSsubato,PTfreq,PTlanceo,REsinuta,ROabbre,Sellatom
NOR4,1.98E-02,0.143801653,,0.105785124,,6.61E-03,,,3.64E-02,1.65E-03,9.92E-03,1.32E-02,4.79E-02,2.98E-02,,,4.96E-03,6.61E-03,6.61E-03,3.31E-03,,1.82E-02,4.96E-03,8.26E-03,1.65E-02,
NOR5,1.49E-02,0.233443709,6.62E-03,8.61E-02,,4.97E-03,,,1.66E-02,,6.62E-03,8.28E-03,5.79E-02,2.48E-02,,4.97E-03,3.31E-03,1.49E-02,1.66E-02,6.62E-03,,9.93E-03,3.31E-03,9.93E-03,3.64E-02,
NOR6,2.64E-02,0.174917492,4.95E-03,0.138613861,6.60E-03,4.95E-03,,,1.49E-02,,3.30E-03,9.90E-03,1.98E-02,8.25E-03,,4.95E-03,9.90E-03,9.90E-03,1.16E-02,4.95E-03,,8.25E-03,,1.32E-02,2.81E-02,
NOR7,0.059016393,0.183606557,6.56E-03,0.12295082,3.28E-03,9.84E-03,,,3.28E-03,,4.92E-03,6.56E-03,2.30E-02,2.30E-02,4.92E-03,,4.92E-03,4.92E-03,9.84E-03,,,1.48E-02,6.56E-03,3.28E-03,4.75E-02,
NOR8,2.63E-02,0.124794745,9.85E-03,0.151067323,,3.28E-03,,,1.64E-02,,,6.57E-03,8.21E-03,3.28E-03,,,4.93E-03,,6.57E-03,3.28E-03,,1.97E-02,,9.85E-03,1.48E-02,4.93E-03
NOR9,0.042833608,6.10E-02,1.15E-02,5.27E-02,,8.24E-03,,,3.62E-02,,,1.32E-02,1.32E-02,,,1.65E-03,3.62E-02,,6.59E-03,3.29E-03,3.29E-03,1.15E-02,,8.24E-03,6.43E-02,
PEQ4,2.82E-02,1.66E-02,,,,,,,3.32E-03,4.98E-02,,,0.212271973,0.066334992,,,1.66E-03,,0.021558872,1.49E-02,,1.66E-03,1.82E-02,1.82E-02,2.99E-02,
PEQ5,6.38E-02,0.072013093,,,,1.64E-03,,,8.18E-03,1.15E-02,,,0.12111293,3.60E-02,,,3.27E-03,,3.11E-02,4.91E-03,,1.47E-02,1.80E-02,1.31E-02,2.95E-02,
PEQ6,0.138211382,1.95E-02,,,,,,,4.88E-03,0.016260163,,,1.46E-02,4.88E-03,,,1.14E-02,,8.13E-03,1.63E-03,,8.13E-03,3.41E-02,5.69E-02,9.59E-02,
PEQ7,0.204958678,1.65E-02,3.31E-03,3.31E-03,,1.65E-02,,,3.31E-03,8.26E-03,,1.65E-03,6.61E-03,4.96E-03,4.96E-03,,6.94E-02,,3.31E-03,,,,9.26E-02,2.64E-02,6.61E-02,
PEQ8,0.333333333,0.013136289,,,,1.64E-03,,,,1.64E-03,,,,,3.28E-03,,0.174055829,,1.64E-03,4.93E-03,,,9.85E-03,2.46E-02,3.28E-02,
PEQ9,0.366174056,6.57E-03,,,,1.64E-03,,,9.85E-03,,,,6.57E-03,,,,0.264367816,,,,,1.64E-03,,1.81E-02,6.24E-02,
SAL4,,0.500826446,,,,,,,,,,,,,,,,,,,,4.96E-03,,,,1.65E-03
SAL5,,0.288778878,9.90E-03,,,,,,,,,3.30E-03,,3.30E-03,,,,,,,,,,,,
SAL6,1.16E-02,0.27953411,,,,,,,,,,,,,,,,,1.66E-03,,,,,,,
SAL7,,0.199669967,4.95E-03,1.65E-03,,,1.65E-03,8.25E-03,,,,,,,,,,,,1.16E-02,6.60E-03,,,,,
SAL8,,0.324459235,,,,,,9.98E-03,,,,,,,,,,1.66E-03,,,3.33E-03,,,,,
SAL9,,8.42E-02,3.30E-03,,,,,,,,,,,,,,,,,,,3.30E-03,,,,
