"","agency_cd","site_no","sample_dt","sample_tm","sample_end_dt","sample_end_tm","sample_start_time_datum_cd_reported","tm_datum_rlbty_cd","coll_ent_cd","medium_cd","project_cd","aqfr_cd","tu_id","body_part_id","hyd_cond_cd","samp_type_cd","hyd_event_cd","sample_lab_cm_tx","parm_cd","remark_cd","result_va","val_qual_tx","meth_cd","dqi_cd","rpt_lev_va","rpt_lev_cd","lab_std_va","prep_set_no","prep_dt","anl_set_no","anl_dt","result_lab_cm_tx","anl_ent_cd","startDateTime","sample_start_time_datum_cd"
"1","USGS","01189000",2016-04-21,"13:00",NA,NA,"EST","K",NA,"BP",NA,NA,"0","94","9","9","9","A-1180004 Surface area sampled (cm^2): 126 total volume (mL): 360 volume filtered (mL): 5/filter","70957",NA,543,"dc","00050","S",0.1,"MRL",NA,201612001,20160429,"16T120CA",20160429,"Value or metadata reloaded per NWQL Rapi-Note 16-19","USGSNWQL",2016-04-21 18:00:00,"UTC"
"2","USGS","01189000",2016-05-20,"15:00",NA,NA,"EST","K",NA,"BP",NA,NA,"0","94","X","9","X",NA,"70957",NA,134,"dc","00050","S",0.1,"MRL",NA,201616201,20160610,"16T162CA",20160610,"Value or metadata reloaded per NWQL Rapi-Note 16-19","USGSNWQL",2016-05-20 20:00:00,"UTC"
"3","USGS","01189000",2016-06-17,"10:00",NA,NA,"EST","K",NA,"BP","GIEQW00",NA,"0","94","X","9","X",NA,"70957","<",0.5,"dc","00050","S",0.1,"MRL",NA,201618002,20160624,"16T176CA",20160624,"Value or metadata reloaded per NWQL Rapi-Note 16-19","USGSNWQL",2016-06-17 15:00:00,"UTC"
"4","USGS","01189000",2016-07-15,"10:10",NA,NA,"EST","K",NA,"BP","GIEQW00",NA,"0","94","4","9","9",NA,"70957",NA,118,"d","00050","S",0.1,"MRL",NA,201621005,20160728,"16T210CA",20160728,NA,"USGSNWQL",2016-07-15 15:10:00,"UTC"
"5","USGS","01189000",2016-08-04,"13:00",NA,NA,"EST","K","USGS-WRD","BP","30G1EQW00",NA,"0","94","9","9","9","Team13; iPad would not let me enter project assigned sample label correctly.","70957",NA,79.2,"d","00050","S",0.1,"MRL",NA,201623201,20160819,"16T232CA",20160819,NA,"USGSNWQL",2016-08-04 18:00:00,"UTC"
"6","USGS","01189000",2016-08-17,"11:00",NA,NA,"EST","K",NA,"BP","G1EQW00",NA,"0","94","4","9","9",NA,"70957",NA,163,"@dc","00050","S",0.1,"MRL",NA,201626409,20160921,"16T264CA",20160921,"The holding time for the processing of this sample has been exceeded","USGSNWQL",2016-08-17 16:00:00,"UTC"
"7","USGS","01189000",2016-09-12,"10:30",NA,NA,"EST","K",NA,"BP","G1EQW00",NA,"0","94","X","9","X",NA,"70957",NA,213,"d","00050","S",0.1,"MRL",NA,201628101,20161007,"16T281CA",20161007,NA,"USGSNWQL",2016-09-12 15:30:00,"UTC"
"8","USGS","01193500",2016-04-19,"15:00",NA,NA,"EST","K",NA,"BP",NA,NA,"0","94","9","9","9","A-1180003 Surface area sampled (cm^2): 126 total volume (mL): 240 volume filtered (mL): 10/filter","70957",NA,11.2,"dc","00050","S",0.1,"MRL",NA,201612001,20160429,"16T120CA",20160429,"Value or metadata reloaded per NWQL Rapi-Note 16-19","USGSNWQL",2016-04-19 20:00:00,"UTC"
"9","USGS","01193500",2016-05-19,"10:00",NA,NA,"EST","K",NA,"BP",NA,NA,"0","94","X","9","X",NA,"70957",NA,13.8,"dc","00050","S",0.1,"MRL",NA,201616201,20160610,"16T162CA",20160610,"Value or metadata reloaded per NWQL Rapi-Note 16-19","USGSNWQL",2016-05-19 15:00:00,"UTC"
"10","USGS","01193500",2016-06-15,"12:00",NA,NA,"EST","K",NA,"BP","GIEQW00",NA,"0","94","X","9","X",NA,"70957","<",0.2,"dc","00050","S",0.1,"MRL",NA,201618002,20160624,"16T176CA",20160624,"Value or metadata reloaded per NWQL Rapi-Note 16-19","USGSNWQL",2016-06-15 17:00:00,"UTC"
