"","agency_cd","site_no","dateTime","X_00060_00003","X_00060_00003_cd","tz_cd"
"1","USGS","01189000",2016-04-30,50.8,"P","UTC"
"2","USGS","01189000",2016-05-01,48.8,"P","UTC"
"3","USGS","01189000",2016-05-02,79.5,"P","UTC"
"4","USGS","01189000",2016-05-03,114,"P","UTC"
"5","USGS","01189000",2016-05-04,83.6,"P","UTC"
"6","USGS","01189000",2016-05-05,69.6,"P","UTC"
"7","USGS","01189000",2016-05-06,78.2,"P","UTC"
"8","USGS","01189000",2016-05-07,79,"P","UTC"
"9","USGS","01189000",2016-05-08,80.9,"P","UTC"
"10","USGS","01189000",2016-05-09,66.4,"P","UTC"
"11","USGS","01189000",2016-05-10,57.4,"P","UTC"
"12","USGS","01189000",2016-05-11,53.1,"P","UTC"
"13","USGS","01189000",2016-05-12,50.1,"P","UTC"
"14","USGS","01189000",2016-05-13,53.8,"P","UTC"
"15","USGS","01189000",2016-05-14,57.7,"P","UTC"
"16","USGS","01189000",2016-05-15,56.9,"P","UTC"
"17","USGS","01189000",2016-05-16,48.4,"P","UTC"
"18","USGS","01189000",2016-05-17,47.7,"P","UTC"
"19","USGS","01189000",2016-05-18,45.7,"P","UTC"
"20","USGS","01189000",2016-05-19,45,"P","UTC"
"21","USGS","01189000",2016-05-20,46.3,"P","UTC"
"22","USGS","01189000",2016-05-21,44.8,"P","UTC"
"23","USGS","01189000",2016-05-22,45.2,"P","UTC"
"24","USGS","01189000",2016-05-23,42.3,"P","UTC"
"25","USGS","01189000",2016-05-24,44.3,"P","UTC"
"26","USGS","01189000",2016-05-25,36.2,"P","UTC"
"27","USGS","01189000",2016-05-26,32.5,"P","UTC"
"28","USGS","01189000",2016-05-27,30,"P","UTC"
"29","USGS","01189000",2016-05-28,27,"P","UTC"
"30","USGS","01189000",2016-05-29,24.7,"P","UTC"
"31","USGS","01189000",2016-05-30,57.2,"P","UTC"
"32","USGS","01189000",2016-05-31,30,"P","UTC"
"33","USGS","01189000",2016-06-01,25.8,"P","UTC"
"34","USGS","01189000",2016-06-02,24,"P","UTC"
"35","USGS","01189000",2016-06-03,24.3,"P","UTC"
"36","USGS","01189000",2016-06-04,23.8,"P","UTC"
"37","USGS","01189000",2016-06-05,78,"P","UTC"
"38","USGS","01189000",2016-06-06,67.2,"P","UTC"
"39","USGS","01189000",2016-06-08,33.5,"P","UTC"
"40","USGS","01189000",2016-06-09,29,"P","UTC"
"41","USGS","01189000",2016-06-10,24,"P","UTC"
"42","USGS","01189000",2016-06-11,30,"P","UTC"
"43","USGS","01189000",2016-06-12,25.7,"P","UTC"
"44","USGS","01189000",2016-06-13,23.3,"P","UTC"
"45","USGS","01189000",2016-06-14,22.4,"P","UTC"
"46","USGS","01189000",2016-06-15,21.8,"P","UTC"
"47","USGS","01189000",2016-06-16,21.7,"P","UTC"
"48","USGS","01189000",2016-06-17,21.5,"P","UTC"
"49","USGS","01189000",2016-06-18,20.9,"P","UTC"
"50","USGS","01189000",2016-06-19,20.9,"P","UTC"
"51","USGS","01189000",2016-06-20,20.9,"P","UTC"
"52","USGS","01189000",2016-06-21,20.3,"P","UTC"
"53","USGS","01189000",2016-06-22,19.8,"P","UTC"
"54","USGS","01189000",2016-06-23,19.7,"P","UTC"
"55","USGS","01189000",2016-06-24,19.6,"P","UTC"
"56","USGS","01189000",2016-06-25,19.4,"P","UTC"
"57","USGS","01189000",2016-06-26,19.4,"P","UTC"
"58","USGS","01189000",2016-06-27,19.6,"P","UTC"
"59","USGS","01189000",2016-06-28,19.2,"P","UTC"
"60","USGS","01189000",2016-06-29,19.9,"P","UTC"
"61","USGS","01189000",2016-06-30,18,"P","UTC"
"62","USGS","01189000",2016-07-01,78.2,"P","UTC"
"63","USGS","01189000",2016-07-02,44.8,"P","UTC"
"64","USGS","01189000",2016-07-03,22.1,"P","UTC"
"65","USGS","01189000",2016-07-04,20.5,"P","UTC"
"66","USGS","01189000",2016-07-06,19.2,"P","UTC"
"67","USGS","01189000",2016-07-07,72.1,"P","UTC"
"68","USGS","01189000",2016-07-08,31.9,"P","UTC"
"69","USGS","01189000",2016-07-09,21.7,"P","UTC"
"70","USGS","01189000",2016-07-10,21.1,"P","UTC"
"71","USGS","01189000",2016-07-11,20,"P","UTC"
"72","USGS","01189000",2016-07-12,19.2,"P","UTC"
"73","USGS","01189000",2016-07-13,18.9,"P","UTC"
"74","USGS","01189000",2016-07-14,20.8,"P","UTC"
"75","USGS","01189000",2016-07-15,20.3,"P","UTC"
"76","USGS","01189000",2016-07-16,18.8,"P","UTC"
"77","USGS","01189000",2016-07-17,18.4,"P","UTC"
"78","USGS","01189000",2016-07-18,52,"P","UTC"
"79","USGS","01189000",2016-07-19,21.6,"P","UTC"
"80","USGS","01189000",2016-07-20,17.9,"P","UTC"
"81","USGS","01189000",2016-07-21,17.9,"P","UTC"
"82","USGS","01189000",2016-07-22,19.3,"P","UTC"
"83","USGS","01189000",2016-07-23,19.3,"P","UTC"
"84","USGS","01189000",2016-07-24,17.6,"P","UTC"
"85","USGS","01189000",2016-07-25,17.8,"P","UTC"
"86","USGS","01189000",2016-07-26,17.6,"P","UTC"
"87","USGS","01189000",2016-07-27,17.4,"P","UTC"
"88","USGS","01189000",2016-07-28,17.3,"P","UTC"
"89","USGS","01189000",2016-07-29,19.2,"P","UTC"
"90","USGS","01189000",2016-07-30,50.6,"P","UTC"
"91","USGS","01189000",2016-07-31,55.7,"P","UTC"
"92","USGS","01189000",2016-08-01,40.4,"P","UTC"
"93","USGS","01189000",2016-08-02,24.8,"P","UTC"
"94","USGS","01189000",2016-08-03,20,"P","UTC"
"95","USGS","01189000",2016-08-04,19.2,"P","UTC"
"96","USGS","01189000",2016-08-05,18.9,"P","UTC"
"97","USGS","01189000",2016-08-06,18.8,"P","UTC"
"98","USGS","01189000",2016-08-07,18.5,"P","UTC"
"99","USGS","01189000",2016-08-08,18.2,"P","UTC"
"100","USGS","01189000",2016-08-09,18,"P","UTC"
"101","USGS","01189000",2016-08-10,28.2,"P","UTC"
"102","USGS","01189000",2016-08-11,19.1,"P","UTC"
"103","USGS","01189000",2016-08-12,18.4,"P","UTC"
"104","USGS","01189000",2016-08-13,17.9,"P","UTC"
"105","USGS","01189000",2016-08-14,30.7,"P","UTC"
"106","USGS","01189000",2016-08-15,19.5,"P","UTC"
"107","USGS","01189000",2016-08-16,17.9,"P","UTC"
"108","USGS","01189000",2016-08-17,17.7,"P","UTC"
"109","USGS","01189000",2016-08-18,17.6,"P","UTC"
"110","USGS","01189000",2016-08-19,17.5,"P","UTC"
"111","USGS","01189000",2016-08-20,17.3,"P","UTC"
"112","USGS","01189000",2016-08-21,79.1,"P","UTC"
"113","USGS","01189000",2016-08-22,69.3,"P","UTC"
"114","USGS","01189000",2016-08-23,18.2,"P","UTC"
"115","USGS","01189000",2016-08-24,16.7,"P","UTC"
"116","USGS","01189000",2016-08-25,16.4,"P","UTC"
"117","USGS","01189000",2016-08-26,16.2,"P","UTC"
"118","USGS","01189000",2016-08-27,16,"P","UTC"
"119","USGS","01189000",2016-08-28,15.9,"P","UTC"
"120","USGS","01189000",2016-08-29,15.9,"P","UTC"
"121","USGS","01189000",2016-08-30,15.5,"P","UTC"
"122","USGS","01189000",2016-08-31,15.6,"P","UTC"
"123","USGS","01189000",2016-09-01,16.7,"P","UTC"
"124","USGS","01189000",2016-09-02,15.4,"P","UTC"
"125","USGS","01189000",2016-09-03,14.9,"P","UTC"
"126","USGS","01189000",2016-09-04,14.7,"P","UTC"
"127","USGS","01189000",2016-09-05,14.8,"P","UTC"
"128","USGS","01189000",2016-09-06,14.9,"P","UTC"
"129","USGS","01189000",2016-09-07,15.3,"P","UTC"
"130","USGS","01189000",2016-09-08,14.7,"P","UTC"
"131","USGS","01189000",2016-09-09,14.5,"P","UTC"
"132","USGS","01189000",2016-09-10,14.5,"P","UTC"
"133","USGS","01189000",2016-09-11,14.3,"P","UTC"
"134","USGS","01189000",2016-09-12,14,"P","UTC"
"135","USGS","01189000",2016-09-13,14.1,"P","UTC"
"136","USGS","01189000",2016-09-14,14.1,"P","UTC"
"137","USGS","01189000",2016-09-15,13,"P","UTC"
"138","USGS","01189000",2016-09-16,13.5,"P","UTC"
"139","USGS","01189000",2016-09-17,13.4,"P","UTC"
"140","USGS","01189000",2016-09-18,14.3,"P","UTC"
"141","USGS","01189000",2016-09-19,18.4,"P","UTC"
"142","USGS","01189000",2016-09-20,14.8,"P","UTC"
"143","USGS","01189000",2016-09-21,14.3,"P","UTC"
"144","USGS","01189000",2016-09-22,14,"P","UTC"
"145","USGS","01189000",2016-09-23,14,"P","UTC"
"146","USGS","01189000",2016-09-24,14.1,"P","UTC"
"147","USGS","01189000",2016-09-25,13.8,"P","UTC"
"148","USGS","01189000",2016-09-26,14,"P","UTC"
"149","USGS","01189000",2016-09-27,20.3,"P","UTC"
"150","USGS","01189000",2016-09-28,14.7,"P","UTC"
"151","USGS","01189000",2016-09-30,14.8,"A","UTC"
"152","USGS","01189000",2016-10-01,15.5,"A","UTC"
"153","USGS","01193500",2016-04-01,216,"A","UTC"
"154","USGS","01193500",2016-04-02,340,"A","UTC"
"155","USGS","01193500",2016-04-03,659,"A","UTC"
"156","USGS","01193500",2016-04-04,485,"A","UTC"
"157","USGS","01193500",2016-04-05,374,"A","UTC"
"158","USGS","01193500",2016-04-06,344,"A","UTC"
"159","USGS","01193500",2016-04-07,762,"A","UTC"
"160","USGS","01193500",2016-04-08,934,"A","UTC"
