Station ID,Stream,SID,Collect_Date,Temp,TP,TN,OrthoP,Chla,Canopy
1209700,Norwalk River,NOR4,4/20/16,14.20468318,0.0156,0.605,0.004,200,48
1209700,Norwalk River,NOR5,5/20/16,14.9653072,0.0399,0.672,0.01889,105,69
1209700,Norwalk River,NOR6,6/14/16,18.55667297,0.0673,0.918,0.04731,0.5,68
1209700,Norwalk River,NOR7,7/12/16,21.83516173,0.0884,0.846,0.05981,62.9,66
1209700,Norwalk River,NOR8,8/18/16,21.79127583,0.1139,0.874,0.05895,22,75
1209700,Norwalk River,NOR9,9/13/16,18.64325778,0.0434,0.676,0.01659,115,61
1189000,Pequabuck River,PEQ4,4/21/16,13.66831952,0.6956,3.323,0.62731,543,71
1189000,Pequabuck River,PEQ5,5/20/16,15.00277665,0.7847,2.865,0.64247,134,71
1189000,Pequabuck River,PEQ6,6/17/16,19.06436877,1.0683,4.083,0.96156,0.5,74
1189000,Pequabuck River,PEQ7,7/15/16,21.96772367,1.1935,3.852,1.06438,118,64
1189000,Pequabuck River,PEQ8,8/17/16,22.59142254,1.3087,4.045,1.20767,163,58
1189000,Pequabuck River,PEQ9,9/12/16,20.28663137,1.4846,4.482,1.33509,213,51
1193500,Salmon River,SAL4,4/19/16,12.64494223,0.0093,0.357,0.004,11.2,3
1193500,Salmon River,SAL5,5/19/16,14.85041396,0.0112,0.306,0.004,13.8,7
1193500,Salmon River,SAL6,6/15/16,19.30877528,0.0164,0.446,0.00503,0.2,5
1193500,Salmon River,SAL7,7/13/16,23.25259424,0.019,0.368,0.004,21.4,5
1193500,Salmon River,SAL8,8/19/16,23.09179745,0.0133,0.304,0.004,21.1,1
1193500,Salmon River,SAL9,9/14/16,19.33677506,0.0132,0.261,0.004,27.8,2
